keys,zh
TR_WARLORD,"军阀"
TR_DEEP_STRIKE,"深度打击"
TR_HARD_ARMOUR,"硬装甲"
TR_INFILTRATION,"渗透"
TR_INSPIRE,"鼓舞"
TR_PREC_STRIKE,"精确打击"
TR_PROMOTE,"晋升"
TR_SUPPLY,"补给"
TR_TARG_AUT,"目标自动机"
TR_DROP_OFF,"投放"
TR_HEAVY_MISS,"重型导弹"
TR_HEAVY_WEAP,"重型武器"
TR_LR_SHELL,"远程炮弹"
TR_MEDKIT,"医疗包"
TR_MISSILE,"导弹"
TR_PICK_UP,"拾取"
TR_RAPID_RESP,"快速反应"
TR_REPAIR_KIT,"修理包"
TR_WIPE_EDITOR,"清除编辑器内容"
TR_QUICKSAVE,"快速保存"
TR_SAVE_LOAD_MAP,"保存/加载地图"
TR_NEXT_MISS,"下一个任务"
TR_FINISH,"完成"
TR_CLOSE,"关闭"
TR_RES_MISS,"重新开始任务"
TR_NOT_ENOUGH_AP,"AP不足"
TR_AP_SPENT,"AP已消耗"
TR_NOT_AP_SP","通知AP已消耗完毕时显示通知。 "
TR_NOT_AP_SP_DESC,"当AP完全耗尽时显示通知。"
TR_MISS_COMP,"任务完成"
TR_MISS_FAIL,"任务失败"
TR_REPAIR_KIT_DESC,"工具箱，可以让士兵修复各种车辆。恢复5HP。"
TR_RAPID_RESP_DESC,"补充该单位的全部MP，并允许再次攻击。"
TR_PICK_UP_DESC,"将步兵单位带上运输工具。"
TR_MISSILE_DESC,"能够击中地面和空中目标的长程制导导弹。造成10点伤害。"
TR_MEDKIT_DESC,"医疗用品包，用于治愈士兵。恢复5HP。"
TR_LR_SHELL_DESC,"特殊炮弹，可以击中2个单位以外的目标。只能直线射击。造成10点伤害。"
TR_HEAVY_WEAP_DESC,"肩扛式弹头，具有爆炸能力。造成8点伤害。"
TR_HEAVY_MISS_DESC,"能够击中地面和空中目标的长程制导导弹。延展范围。造成11点伤害。"
TR_DROP_OFF_DESC,"部署步兵单位，该单位已在运输工具上。"
TR_PASS_TR_SPEC,"训练有素的专家"
TR_PASS_TR_SPEC_DESC,"经过多年的训练，精通特殊武器。所有冷却时间减少1（至少为1）。"
TR_PASS_RECRUIT,"招募"
TR_PASS_RECRUIT_DESC,"身经百战的老兵，学会了如何更有效地将新兵带入战场。所有步兵类型的单位成本降低10AP。"
TR_PASS_OPTIM,"优化"
TR_PASS_OPTIM_DESC,"物流专家，擅长优化装备。所有塔提供额外5AP每回合。"
TR_PASS_MENTOR,"导师"
TR_PASS_MENTOR_DESC,"优秀的领导者，与士兵分享经验。所有步兵类型的单位起始等级为1。"
TR_PASS_INTIM,"威吓"
TR_PASS_INTIM_DESC,"严厉且强硬的个性，延伸到指挥的士兵。在占领建筑时，步兵失去所有AP来威吓驻军，而不是消耗AP来替换驻军。"
TR_PASS_HIGH_MOR,"高士气"
TR_PASS_HIGH_MOR_DESC,"鼓舞人心的领导者，是所有士兵的榜样。所有步兵类型的单位的护甲和攻击力增加1。"
TR_PASS_EFFIC,"高效"
TR_PASS_EFFIC_DESC,"多年的工程经验使得更好的工厂管理成为可能。所有工厂车辆的生产成本减少10AP。"
TR_PASS_AIR_SUP,"空中优势"
TR_PASS_AIR_SUP_DESC,"多年的军事经验使得更好的机场管理成为可能。所有机场飞行器的生产成本减少10AP。"
TR_TARG_AUT_DESC,"临时附件，有助于更好地追踪快速移动的目标。允许所有相邻单位攻击飞行目标。如果它们已经可以攻击飞行目标，则改为增加1点伤害。不影响火箭炮。"
TR_SUPPLY_DESC,"为所有相邻单位补充备用零件和医疗用品。恢复5HP。"
TR_PROMOTE_DESC,"晋升一个单位，立即为其增加1个等级。"
TR_PREC_STRIKE_DESC,"呼叫空中精确打击。对目标方块及其所有相邻方块造成5点伤害。可能误伤友军。"
TR_INSPIRE_DESC,"鼓舞你的单位，最多可达2个方块之远。恢复所有MP并允许它再次攻击，并再次使用它的能力。"
TR_INFILTRATION_DESC,"通过立即跳跃到最多2个方块之远的方块，渗透到敌方领地。"
TR_HARD_ARMOUR_DESC,"暂时硬化最多可达2个方块之远的单位的护甲1点。"
TR_DEEP_STRIKE_DESC,"呼叫空降，最多可达2个方块之远。提供免费的步兵单位。"
TR_TEAM,"团队"
TR_NEW_SAVE,"创建新存档"
TR_LOAD_GAME,"载入游戏"
TR_AUTOSAVE,"自动存档"
TR_INTRO,"介绍"
TR_INTRO_DESC,"游戏开始时显示介绍"
TR_ONLINE,"在线"
TR_WELCOME_ONLINE,"欢迎来到ToF Online！"
TR_NEED_REGISTER,"在使用在线选项之前，您的设备需要注册在线系统。注册仅需几秒钟，完全匿名。"
TR_REGISTER,"注册"
TR_REQUESTING_PLAYER_ID,"正在请求玩家ID！请稍候片刻..."
TR_REQUESTING_PLAYER_FAIL,"请求玩家ID失败。请稍后再试。"
TR_REQUESTING_PLAYER_SUCCESS,"请求玩家ID成功。欢迎来到ToF Online！"
TR_STOCK,"库存"
TR_CUSTOM,"定制"
TR_DOWNLOADED,"已下载"
TR_MATCHES,"匹配"
TR_MAPS,"地图"
TR_UPLOAD_MAP,"上传地图"
TR_DOWNLOAD_MAP,"下载地图"
TR_SELECTED_MAP,"已选择的地图"
TR_CONFIRM,"确认"
TR_CHANGE_MAP,"更换地图"
TR_RETRY,"重试"
TR_UPLOADING_WAIT,"地图上传中！请稍候..."
TR_UPLOADING_SUCCESS,"上传成功！现在你可以将你的新地图代码分享给你的朋友了： "
TR_UPLOADING_FAIL,"上传失败。请稍后再试。"
TR_LATEST,"最新"
TR_TOP_DOWNLOADED,"下载量最多"
TR_DOWNLOAD,"下载"
TR_FETCHING,"获取中..."
TR_DOWNLOADING_MAP,"地图下载中！请稍候..."
TR_DOWNLOADING_SUCCESS,"地图已下载。"
TR_DOWNLOADING_FAIL,"无法下载地图。请检查代码是否正确并重试。"
TR_TOF1_IMPORT,"ToF导入"
TR_GENERAL,"一般"
TR_CONTROLS_HELP,"控制帮助"
TR_CONTROLS_HELP_DESC,"在屏幕上显示控制列表。"
